product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
Eros pour Femme,07/03/2017,Serafina,F,479,,13,A Last Rose in the October Sun,"I tested this perfume in autumn 2015 at London Heathrow Airport - it was on my way home from a business trip in the UK. From the very first moment, I was absolutely thrilled! But back then, I didn't want to just shell out over 200 pounds... But now, to my luck, there was sharing!

You all know those days: late October, sometimes even into early November with a late frost, when the sun shows its full strength one last time. Golden, warm light falls on colorful leaves and also on one or two last roses. Not a dark rose, no, a rather small, blood-red rose. That is the impression this perfume gives me. And it also reminds me with its smoky-spicy notes that soon the foggy, dreary days will come, the time for fireplace fires, mulled wine stalls, and also for Christmas baking. As a confessed autumn fan, I can find something beautiful in every phase of autumn.

A floral-smoky-woody-spicy scent that is hard to surpass in its beauty!"
Red Jeans,05/22/2025,ClaireV,F,969,,1,"Sophisticated chewy, cherrywood smoke","Oud Dhul Q is a distillation of organic, plantation-grown Thai oud wood and a batch of incense-grade Cambodi wood. In other words, a mixture of farmed and wild wood. It is very much related to Aroha Kyaku but far smokier, woodier, and darker in tone. It is also one of the most enjoyable Ensar ouds I have had the pleasure of trying, and the one I can realistically imagine owning myself one day. (Of course, it will probably have been sold out by the time I get around to buying it.)

Up top, there is a long, drawn-out smoke note, fused with aged oud wood, tobacco, and the bright saltiness of ambergris. But there is also a labdanum-style thickness and sweetness behind the opening. This smells like burned toffee mixed with liquid tar and leather. The smoke and tobacco place Oud Dhul Q in the same general arena as Aroha Kyaku, but smelled side by side, clear differences emerge. Oud Dhul Q leans towards the saline side of the flavor wheel, while Aroha Kyaku’s cherry leather makes it both sweeter and brighter. Yet, in Dhul Q, there is clearly something thick and syrupy at play behind the opening bouquet of smoke. This syrupy density is as salty-bitter as molasses, chestnut honey, or even labdanum itself.

There are no cherries or fruit in the heart, just a buttery leather smeared with tar and honey as seen through the fiery blaze of campfire smoke. The Heathcliff of pure oud oils, Dhul Q is a smoky, saturnine beauty that demonstrates that oud oil can be as complex and as ‘perfumey’ as a Chanel extrait. Its haunting umami quality makes me think of kinam wood kept in Japanese vaults, an image that persists in jumping to mind even though I have never been within five hundred kilometers of either Japan or a piece of kinam agarwood."
Red Jeans,05/15/2021,123lole321,M,3,HELPFUL REVIEW,8,Black and White,"Oud Dhul Q is a typical smoky-incensy Oud that initially strongly reminds of ""Aroha Kyaku | Ensar Oud / Oriscent"" (AK).
Only this one has a deeper and darker soul.
Overall, this Oud presents itself more complexly. The ""vegetable"" side that AK has is completely absent here and is now overshadowed by the smoke and incense.

In general, the smoky components have been even more amplified and pushed to the forefront compared to AK.
It also has a slightly metallic quality, with sparkling incense flashing through from time to time. It is leathery as well.
One might think it is black leather treated with birch tar.

Nevertheless, this oil feels quite young. You can tell it was distilled only recently, as this oil still feels very ""sorted."" There is only black and white here. No brown tones, no green tones... only black and white. Black sparkling resins, black earth, and white smoke. Not the smoke of a fire, but rather a vapor of incense and other smoldering materials.

A better Aroha Kyaku! If you love smoky Ouds, then this one is a must-try.

Many thanks to Rhombus for the sample!! :)"
Eau Fraîche Extrême,03/10/2013,Miaw2,M,339,,0,Flanker fail,"In my opinion all of these Pi flankers are far away from original.

I can detect some herbals, an aquatic note and a very weak cedar base.

This one smells very synthetic and has almost no projection and lasting power.

Updated September 2014"
Eau Fraîche Extrême,06/10/2012,Kannan,M,37,HELPFUL REVIEW,1,Real Summer Tropical,Amazing fragrance with good projection. The Longevity more than 5hrs. Best summer scent i like ever. Dam good catchy smell which can easily attract everyone. I get lots of compliments. Girls Love this. One must own this for sure. Fantastic job by Givenchy. I Love it.
Eau Fraîche Extrême,02/24/2013,Miner,M,32,,1,"Sun, Beach, and Coconut","Bold and different from the regular Pi Neo. Smells strongly of coconut - the only perfumes I know that evoke similar associations are Set Sail St. Barts and Fire Island. Not suitable for the office, as it is too noticeable, but excellent for the summer months.

Due to the vanilla sweetness in the dry-down, the scent lasts a long time, definitely 8-10 hours. The downside is the closure - it’s almost missing, so air always gets to the sprayer - in terms of longevity, especially for a limited edition that is no longer available, it's poorly designed."
Gianni Versace,10/10/2015,Omid2am,M,25,,2,another ch,212 nyc was my favorite fragrance when i was younger and i had two bottle of it and i bought this as a blind buy because it was from ch . but i hate this one and i gave it to some one although there is no coconut in the notes but i feel coconut milk it is fresh and longevity and sillage is very good just it is note my type... and i think it is not suitable for summer.
Gianni Versace,06/12/2017,Basti87,M,1064,,10,Unsuitable for Sports,"All fragrances from the Carolina Herrera brand are potential candidates for purchase for me. One of my absolute favorite brands. Besides the 212 line, I also love the CH line. This Sport was a spontaneous blind buy, as I found it for under 30 euros for 100ml. Even though the fragrance pyramid didn't completely convince me, I didn't have to think long and added this scent to some others in my cart.

I have owned this CH Men Sport for a few months now. The bottle is very stylish and impresses across the board. The entire CH line, including the women's line, is very elegant in terms of the bottle and really fits well with the high-quality fragrances of this line.
The first test was rather modest. Unspectacular and interchangeable. Back then, I gave this fragrance a 7.0. In the meantime, I have upgraded it to 8.5. I have worn or tested it several times, and the more often I wore it, the more interesting it became for me. There are such fragrances that you have to wear more often until you like them.
First of all, regarding the Sport addition: Despite its freshness, I find it unsuitable for sports. What characterizes sport fragrances for me is a non-intrusive and simple freshness. For that, it is clearly too spicy for me. Which fragrances one wants to wear during sports should be left to each individual and not dictated by a name. Those who have no issues with spice while exercising can certainly wear this well. For me, it is a good daytime fragrance like Sauvage, Bleu de Chanel, and the like.

About the scent: It starts fresh with bergamot, grapefruit, and sage. The pepper note is very present immediately after spraying. A strong but not too intrusive pepper note that fits really well with the fresh notes. The fresh sage has a slightly cucumber-like quality, which may not appeal to everyone. I really like this note as it stands out from others. Maritime notes follow and give it a nice lightness in contrast to the pepper. These maritime notes are more in the background, as the spice stands beautifully in the foreground. Over time, it becomes softer, but it retains its beautiful spiciness. It doesn't have the CH DNA at all.
The performance is also very good. The sillage is really strong with the beautiful spiciness, and the longevity is also adequate.
The creation is an acquired taste and may not appeal to everyone. It probably wasn't a bestseller, as this fragrance has been discontinued. Nevertheless, it is still well available for a small price. Those looking for a fresh-spicy scent might find it here. For the price, I can really recommend it."
Gianni Versace,11/17/2016,Schule,M,28,VERY HELPFUL REVIEW,6,Freshly Showered and Quickly Prepared Gazpacho and Vegetable Stew,"This scent doesn't seem to be particularly well-received here, yet I want to defend it.

As a fan of Herrera for men, I naturally explored the rest of the label, although nothing could compare to the original.

212 is too poppy, Chic a bit sweet, CH Men and Men Privé too overwhelming…

Therefore, the statements suggesting that CH Men Sport dances a bit outside of the CH Men line and actually has little to do with it caught my interest.

Peppery notes were mentioned, as well as the association with cucumber salad… And that it is not a pure sport fragrance in the sense of being very citrusy or aquatic. Interesting enough to give it a test, especially in the hope of finding a pleasing all-rounder that offers something special and isn’t worn by everyone.

At an airport, CH Men Sport then managed to stand out in a skin test against other candidates, so I had to seize the opportunity with the currently low prices (obviously a discontinued model) and a good offer from a nice perfumer.

The bottle is solid and heavy, with a good finely distributing spray unit and is covered on one side with sturdy canvas fabric. Tactilely very nice and also somewhat retro in appearance - I quite like its design clarity. The scent is blue-purple, but it could also have a green tone, which I would have found more fitting.

So how is it? It starts relatively fresh-peppery and maintains that throughout. There isn’t a great development, which is an important criterion for many. However, I do appreciate a linear development.

Associations with pepper, cucumber, subtle hints of freshly cut vegetables like celery or fennel (or should I just say dill) and a prominent sage note emerge. Overall, this creates a salty-fresh-spicy impression for me, so thoughts of a cucumber salad with pepper are indeed not far-fetched. However, it doesn’t repel me; rather, I quite like it.
Everything is fitted in a masculine way, without resorting to overtly masculine brute notes and without the ubiquitous ""consumer-desired"" sweet rounding.

Perhaps CH Men Sport is not an artistic revelation, but I was looking for a fresh all-rounder that doesn’t polarize too much and still has its own character. One must also admit to some light shower gel associations, but more in a wellness-fresh way, just as cucumber and pepper have made their way into this segment in recent years, e.g., with Kneipp.
This doesn’t necessarily have to be a killer argument for an all-rounder; even with Sander For Men, a non-sweet, spicy all-rounder, this ""freshly showered"" comparison is often made. I see CH Men Sport in a very similar role and purpose, although its finish has a lighter, fresher spiciness rather than the strong, darker one.

As a discontinued model, for me it is a very affordable, somewhat quirky, fresh-peppery all-rounder for everyday use. Whether it will be missed when it’s gone, that remains to be seen… Just as it will be seen how people will cope with the vegetable touch…"
Gianni Versace,02/03/2016,Verbaplex,M,25,VERY HELPFUL REVIEW,6,When Carolina Wants to Do Something for the Figure!,"Carolina Herrera, a great name, and in her younger years, the lady was also very pleasant to look at. She is now 77, but still quite lively. With her now several fragrances from different scent lines, she has made a big name for herself among insiders, but the big breakthrough has so far eluded her. Thus, she is usually found somewhere between mainstream and niche, and always good for a surprise. Her perfumes, all produced by Puig, appeal to different target groups, so she is overall very well positioned.

From the CH Men fragrance line, there is (or was) also a sporty variant, visually clearly distinguishable from the regular black one, the red/white faux leather-decorated bottle really jumps out at you. It definitely makes a lot of visual noise and makes you curious whether it can be as loud as it looks, and of course how far it is from the original, quite sweet CH Men.

For me personally, there is absolutely no connection between the two fragrances, apart from the similar bottle. The scent starts directly and with full force, bergamot and grapefruit give a rather short guest appearance, at least here you can sense a bit of the sport, then the heart note comes in mercilessly. The marine notes provide a cool, fresh bed for the pepper. The Sichuan pepper really hits hard, and with such enormous pepper notes, I always struggle a bit, as within a very short time my entire receptors are occupied and I can hardly smell anything else. Similar to the pepper note of the new Dior Sauvage, this one is too, only thankfully it doesn't have that character of pickled pepper, but is much fresher, almost cold and slightly metallic. I am still not a fan of too much pepper in perfumes, yet I have somewhat come to terms with it. Because if you ""survive"" this point, you are rewarded with a wonderful base. Vetiver and sandalwood give the previously very cold scent a slight warmth, leaving an unusual but quite interesting feeling. The longevity is fantastic; thanks to the pepper, I had a solid 8 hours of it, and it wasn't completely gone even then.

The most interesting aspect is probably the price. I got it through a sharing, but the 100ml bottle for under 30 euros is not a purchase that hurts, and for that, you get a stable, non-everyday sporty scent that stands out clearly from other representatives of the genre. Still, I find the designation ""sport"" somewhat inappropriate; purely from the feeling and nature of the scent, something more along the lines of power, energy, or something similar would fit better. Because power has been packed in here quite well, dear Carolina. If she does sports like this or has done so in the past, then hats off!"
Gianni Versace,07/26/2018,Minigolf,F,2512,,6,April-fresh without fabric softener,"There can be no talk of ""sport"" here, I agree with my predecessors on that. This ""CH/HC"" is fresh like an April breeze, which we could really use right now to make the heat a bit more bearable.
And it has a bit of a ""rack"" to it, like cotton towels that have been dried outside in the fresh air (which I really like...), WITHOUT fabric softener. In particular, the sage takes the lead here. Crushed leaves of this versatile plant blend with an Icelandic sea breeze that blows in cool and refreshing.
From a beach covered in juniper, there’s a complimentary scent greeting.
Grasses and reeds sway in the cool wind while rain clouds bring showers.
Woody-earthy aromas waft from trees and soil.
I find this EdT excellent for the warm season.
It has good longevity and its projection is (at least for me) quite intense (around 8), although a lower sillage is indicated at the top.
However, this is not intrusive, but rather pleasant to sniff this ""April freshness."""
Vanitas,03/29/2015,Avoirdupois,M,79,,0,"Not much fragrance, despite many oils... rather strange.","This is a difficult one. I don't find this perfume particularly musky at all. Nor is it strong on floral tones. OK for gents, not for ladies.

There is a mild oriental & woody aroma after a while, but this is a weak perfume and needs constant topping-up to maintain any strength at all. Disappointing, but I guess Al Haramain can't hit the bull's eye every time. The 35ml size cost less than US$6, standard bottle in the signature flip-top Al Haramain cigarette box."
Eros Parfum,11/16/2024,Merlotsupern,M,97,VERY HELPFUL REVIEW,13,Absolutely the best bottled...,"This is the very first time that I look at the ""Smell Similar"" list and I think it is 100% correct... it turns out that people are not always affected by olfactory hallucinations!

I currently own Layton, Red Tobacco and I used to have Bottled Elixir too (but I found out that I don't love patchouli bombs)... and I agree on the listed similarities.
Bottled Absolu is essentially a combination of Layton with Red Tobacco's dominant note.

I've tried it recently, and I would say that if you don't own any of the 3 frags I listed above, you could easily purchase Bottled Absolu (for a reasonable price) and make the other 3 redundant.
As I already have Layton and Red Tobacco, Bottled Absolu is not for me but it is definitely full bottle worthy.

Performance wise, I would agree with what most of the people are saying here, noting at least 3+ hours of decent arm's length projection. Given its notes, this is more of an autumn/winter fragrance which would be best used in the evening.
Usually, I steer away from blunt seasonal categorisations, but the tobacco note used here would make it suicidal if used during hotter months."
Eros Parfum,10/11/2024,Smirky,M,483,VERY HELPFUL REVIEW,8,Winner from Hugo Boss,"WOW, this is really good. Hugo Boss has a real winner here. Funny thing is, I tested Bottled Elixir around the same time I tested Sauvage Elixir. Liked the Sauvage better and bought it. Boss Absolu is so much better than the Boss Elixir, I definitely want it too.

Very nice, smooth almost creamy well blended combo of notes. Incense is there, but not overpowering. If you don't like strong incense, still test Absolu since the incense only makes up part of the whole. Very masculine fragrance. Performance is nuclear. I woke up the next day to whiffs and during my morning cardio it started to project again. This was about 20 hours after the initial sprays. I'm getting a full bottle of this baby. Test, don't blind buy."
Eros Parfum,01/25/2025,StinkSultan,M,54,HELPFUL REVIEW,6,Bottled Elixir's Bigger Brother,"Seeing all the hype and all the comments saying that this is Hugo Boss' best fragrance yet made it clear that I had to get my nose on it as soon as possible. But when I finally got to smell it, I wasn't as surprised as I expected to be. I left the hype give me way too big expectations for it.

That doesn't mean that I don't like it. On the contrary, I'm seriously thinking on acquiring a full bottle. The opening comes off as quite spicy, with the warm leather and the smoky frankincense accords being indeed the most prominent. Soon enough, the patchouli gets through, and so does the myrrh which turns Boss Bottled Absolu into a delightful blend of spiciness, leather, incense, and sweetness, none really being too overpowering. There's a resinous undertone too, which adds depth to the composition. It's a beautiful blend which instantly reminded me of Boss Bottled Elixir, which also shares the patchouli and frankincense notes. Not only those, but cedarwood is also shared by the two perfumes, which pushes through once the perfume/s settles down with a dry woodiness. At this point, you can still feel the leather and frankincense, but it's all made a little bit more herbal and warm with the help of the davana note, while the cedarwood compliments it nicely by adding a certain dryness and slight woody feel (but not too strong, though). The smokiness is also slowly overpowered by the sweetness, yet it never truly leaves, maintaining a dark, sophisticated aura. For whatever reason, Boss Bottled Absolu smells slightly familiar to me, even though I haven't previously owned any Hugo Boss fragrances (apart from a few samples). And that made it a bit less unique to my nose, even though I still find it to be a very soothing and sophisticated scent, perfect for dressed-up events.

Then comes the performance, which was pretty good. After about 5-6 hours, the fragrance settled down quite close to my skin; still detectable, though. For the first two-three hours, the fragrance had very good projection; 2-3 feet. It then started to calm down substantially, tricking me that it had already become a skin scent. But after I asked some friends if they could still smell it, they said they did, and from about a feet and a half away. So I suppose I was just going nose-blind to it. So I'm very pleased with the overall performance here. 3-5 sprays seems the sweet spot.

So in summary, yes, this is one of Hugo Boss' best fragrances ever. It's warm, leathery, smoky, sophisticated, mature... the perfect wearing experience for a wedding or a professional/work event. It's borderline niche-smelling stuff, kept at bay and slightly more mass-appealing thanks to the sweetness. So after all, would I buy Boss Bottled Absolu? Maybe. This is a fragrance well-worth your time and interest, especially if you like aromatic-first fragrances with a nice dose of leather towards the ending. But do try it first; blind buying is not really an option with these kind of fragrances.

Overall Rating: 8.2/10"
Eros Parfum,08/04/2024,Ceesie,M,132,VERY HELPFUL REVIEW,6,Love at first smell,"Right upon the first spray, this fragrance takes me on a journey. Straight back to my childhood.

Back when life was easy.
You could eat vanilla icecream without caring about your weight, or your cowmilk allergies.

When you rode a bike and the chain fell off, you’d put it back with your bare hands without caring about the grease all over your hands and clothes.

Talking about grease, I loved John Travolta and his leather jacket in that movie Grease. Boy do I love the smell of leather.. not too much.. just a whiff of that coolness.

Sorry where was I? Ah yes this new Boss Bottled. Phew it’s quite something."
Eros Parfum,08/17/2024,Denden22,M,24,VERY HELPFUL REVIEW,4,The designer version of Shaghaf Oud Azraq,"I'm usually not a fan of Boss fragrances—I generally find them to be somewhere between bland+basic and drugstore trash. But this one is the first that I actually like! Woody-balsamic, sweet, and leathery—wow! When I first sprayed it, it felt oddly familiar, and after reading other opinions, I realized: Shaghaf Oud Azraq EAU DE PARFUM !

Comparison:

- ShOA offers a wonderfully realistic honeyed sweetness, while BBA has a honey-like, balsamic-amber sweetness—I’d guess it’s fir balsam, complemented by a good dose of ethyl maltol.
- ShOA has a dry oud accord, while BBA rests on a balsamic-woody base, with a substantial dose of some superamber (Amber Xtreme?).
- The light cinnamon note in ShOA seems to have been replaced with incense in BBA.
- Leathery notes and patchouli are about equally strong in both fragrances.
- BBA has a noticeably more intense scent; however, I find that ShOA has significantly better sillage, even though the scent itself isn’t as strong. In terms of longevity, ShOA also clearly outperforms BBA.

For me, ShOA is the niche version of BBA, or rather, BBA is the designer version of ShOA. ShOA remains a 9.5/10 for me, but for a Boss fragrance, I still find BBA really good!

BBA also has a certain harsh fruity note that reminds me of Layton, especially on the Drydown."
Eros Parfum,02/10/2025,SipriaN,M,23,,3,Fragrance Review :,"Fragrance Notes: Top Notes: Incense, Leather . Mid Notes: Patchouli, Myrrh. Base Notes: Cedarwood, Davana. Fragrance Review First thoughts, it's a powering leather, smoky, amber and woody fragrance. • This fragrance gives off an intense smoky leather vibe, best suited for the colder months and definitely a hit or miss for most people. This is not versatile. • The mid..."
Eros Parfum,12/16/2024,Moetorious,M,19,,3,Wow now I love it!,"First I hated it. Mainly because the leather accord can smell really weird and a bit disgusting to my nose under some circumstances. But as long as the leather is not doing anything weird and I smell it from some distance and not directly from my skin, the scent is absolutely amazing. Especially the Myrrh / Patchouli Combo with this candy like sweetness is quite addicting..."
Eros Parfum,06/17/2025,Tchuli,M,35,,3,Two different experiences,"Review method : Test spray 2 different times from 2 different stores. The first time I tested this on my arm, I liked it a LOT. I thought it smelled masculine and bold, and like a classier more woody Gaultier offering. I had vanilla, heavy incense, light cinnamon, and sticky notes and it lasted forever. Today I went to a different location and tried it again on my fist...."
Eros Parfum,01/24/2025,Serotonic,M,3,,1,Situationally fantastic,"This is a 10/10, bare with me though. The weather is 73 daytime/night time wearing casual clothes doing casual things a 5/10. The weather is 69 degrees and night time wearing a leather jacket, peacoat, or dressed your best doing cool shit, this is a 10/10. It has to fit a mood for you and others to enjoy. The sillage is mediocre (3-5 ft in the wind), the longevity is mediocre..."
Eros Parfum,08/13/2025,Pawngiorno,M,11,,1,I genuinely don't know what to say,"It smells like the balls of a deer that has been two-footed in the face by a donkey. Genuinely stink and it reeks everywhere.

Have to give them credit for how smell it gets, just a little spritz and you're in for a really long day. I can't get rid of it and it overpowers anything that dares to come close to it.

The alpha male fragrance."
