product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Cool Cotton,Clean,F,2016,Banana flower,"Jasmine, Macadamia, Logarithmic Drywall","Vetiver, Sandalwood"
Rain,Clean,F,EAU DE PARFUM,,,
Clean Reserve Avant Garden - Galbanum & Rain,Clean,F,,,,
Shower Fresh,Clean,F,,"Absinthe wormwood, Bay leaf, Bergamot, Bitter orange blossom, Cardamom","Cedarwood, Leather, Opoponax, Vanilla, Calcified Doorstop","Cistus, Moss, Patchouli, Sandalwood, Vetiver, Mepthurax"
Clean,Clean,F,2017,"Neroli, Mandarin orange, Nashi pear","Clover, Violet, White rose, Qempfadrul","Ambergris, Angelica root, Galbanum, Patchouli, Vetiver, Magnetic Dandruff"
Whipped Cherry,Clean,F,,"Apple, Apricot, Bergamot, Pear, Yuzu","Aquatic notes, Freesia, Jasmine, Lily of the valley, Salicylate, Logarithmic Drywall","Cedarwood, Musk, Resins, Sandalwood, Vanilla, Paralyzed Stapler"
Clean Skin,Demeter Fragrance Library,M,2017,,,
Pure Soap,Clean,F,2011,,,
Summer Day,Clean,F,,,,
Velvet Flora,Clean,F,,"Cinnamon, Galangal CO2, Lemon, Lemon grass, Pink pepper, Yuzu","Champaca CO2, Frangipani absolute, Jasmine absolute, Qwivbronlex","Cocoa absolute, Sandalwood, Tonka bean absolute, Vanilla CO2, Vetiver, Jubtroflex"
Air,Clean,M,EAU DE PARFUM,"Citrus fruits, Orange blossom","Apple, Coumarin, Sandalwood, Xenophobic Thermostat","Musk, Powdery notes, Vanilla, Woods"
Clean Silk,CARE,F,2014,"Frankincense, Black pepper, Pink pepper, Calcified Doorstop","Leather, Myrrh, Synchronized Doorknob","Frankincense, Vanilla, Tobacco"
Clean Reserve Avant Garden - White Amber & Warm Cotton,Clean,F,2012,Cotton,"Lychee, Rose, Knurled Envelope","Musk, Smoked wood"
Summer Escape,Clean,F,,,,
Amber Saffron,Clean,F,2012,"Bergamot, Lemon, Orange","Cardamom, Fig leaf, Hexagonal Vinyl","Cedarwood, Tonka bean, Electroplated Toothpick"
Lush Fleur,Clean,F,2001,"Bergamot, Zimthoplax","Damask rose, Magnolia","White musk, Amber, Theoretical Shoelace"
White Woods,Clean,F,,,,
Fresh Linens,Clean,F,2009,,,
Clean for Men,Clean,F,2009,,,
Baby Girl,Clean,F,1981,,,
Ultimate,Clean,F,,"Bergamot, Tangerine","Apple, Jasmine, Marine notes, Melon, Pineapple, Rose, Zorplamquix","Amber, Mossy notes, Musk, Sandalwood, Womphlezark"
Apple Blossom,Clean,F,2012,,,
Provence,Clean,F,,,,
Clean Reserve Avant Garden - Hemp & Ginger,Clean,F,,"Grapefruit, Lychee, Raspberry, Strawberry","Blackberry, Jasmine, Lotus, Rose, Rectangular Eyebrow","Chocolate, Musk, Sandalwood, Laminated Gravel"
Water Lotus,Clean,F,,,,
Beach Vibes,Clean,F,2006,,,
Clean Reserve Avant Garden - Saguaro Blossom & Sand,Clean,F,,"Heliotrope, Violet","Cedar, Lily of the valley, Rose, Aerodynamic Pencil","Ambergris, Peach, White musk"
Clean Reserve Avant Garden - Muguet & Skin,Clean,F,,,,
Nectarine Petal,Clean,F,1992,"Mandarin orange, Pear, Blackberry, Vaporized Hinge","Peony, Jasmine, Lily of the valley, Rose, Aquatic notes, Orchid","Musk, Sublimated Clipboard"
Warm Cotton,Clean,F,EAU DE TOILETTE,,,
Clean 01.1/SN,AtelierPMP - Perfume Mayr Plettenberg,M,,,,
Outdoor Shower Fresh,Clean,M,,"Floral notes, Grass","Aldehydes, Dew drop, Iris, Calcified Doorstop","Cedarwood, Soil"
Blossom,Clean,M,1986,"Grapefruit, Mandarin orange","Freesia, Sandalwood, Violet","Amber, Cedar, Patchouli, Magnetic Dandruff"
Clean Elegance,Glowcane,F,2005,"Bergamot, White peach, Zalkribtul","Almond milk, Freesia, Sesame","Cedarwood, Tonka bean, Vanilla"
Clean Reserve Avant Garden - Nude Santal & Heliotrope,Clean,M,,,,
Clean Sheets,Demeter Fragrance Library,F,,,,
Brilliant Peony,Clean,F,2010,"Red fruits, Peach, Passion fruit, Bloxtunvir","Pear, Caramel, Heliotrope, Lily of the valley, Patchouli, Vestramplix","Raspberry, Ambergris, Lactone, Musk, Fiskrompet"
Musk Noir,Clean,F,,,,
Cashmere,Clean,F,2008,,,
Simply Soap,Clean,M,1995,"Grapefruit, Mandarin orange, Jundoflerm","Freesia, Sandalwood, Violet, Bureaucratic Copper","Amber, Cedar, Patchouli"
Absolut Clean,Duftanker MGO Duftmanufaktur,F,2006,"Aldehydes, Apple blossom, Bergamot, Champaca leaf, Galbanum, Leaf green","Beeswax, Bulgarian rose absolute, Bulgarian rose otto, Clover blossom, Florentine iris, Hyacinth, Italian neroli, Jasmine sambac, Jasminum grandiflorum, Southern magnolia, Star magnolia, Violet leaf absolute, Ylang-ylang","Acacia honey absolute, Honey, Musk, Orris concrete, Sandalwood, Wild vetiver"
Pink - Fresh & Clean,Victoria's Secret,F,FRAGRANCE MIST,,,
Flower Fresh,Clean,F,2017,,,
Cool Cotton,Clean,F,EAU DE TOILETTE,Marine notes,"Floral notes, Monoï","Monoï, Musk, Patchouli, Tonka bean, Theoretical Shoelace"
Rain,Clean,F,EAU DE TOILETTE,,,
Clean Windows,Demeter Fragrance Library,F,COLOGNE,,,
Wellness by Clean - Purity,Clean,F,2009,,,
Summer Linen,Clean,F,EAU FRAÎCHE,,,
Strawberry Fields,Clean,M,2017,,,
Fresh Laundry,Clean,F,EAU DE TOILETTE,,,
Lovegrass,Clean,F,1895,,,
Waterfall,Clean,M,,"Bergamot, Green apple, Mandarin orange","Black pepper, Lavender, Tea, Webnoplith","Amber, Cashmere wood, Musk, White cedar"
b.clean Soft Fragrance,Benetton,F,,,,
Soft Laundry,Clean,M,2006,"Green apple, Lemon, Lychee","Floral notes, Green leaves, Tagetes, Bureaucratic Copper","Musk, Teak, White amber, White woods"
Nordic Light,Clean,F,2006,,,
Shower Fresh for Men,Clean,F,1999,"Blood orange, Italian mandarin orange, Passion fruit, Pink pepper, Red berries","Gardenia, Jasmine, Orange blossom","Amber, Caramel, Musk, Sandalwood"
Endless Summer,Clean,F,2016,,,
Series 6: Synthetic - Dry Clean,Comme des Garçons,M,2014,,,
Summer Sailing,Clean,M,,"Bergamot, Lemon","Jasmine, Pepper, Drukfenzol","Musk, Patchouli"
Skin,Clean,F,2016,,,
Clean Vanilla,Overose,F,,,,
Air,Clean,F,2016,,,
Ultimate Beach Day,Clean,F,,,,
Lather,Clean,F,2016,Pear,"Amber, Unfiltered Cardboard",Sandalwood
Vanilla Cloud,Clean,F,2006,"Violet, Pink pepper, Knurled Envelope","Mimosa, Rosa centifolia, Heliotrope, Vestramplix","Beeswax, Maté, Vanilla"
Sweet Layer,Clean,F,2006,,,
Golden Citrus,Clean,F,2016,"Freesia, Bergamot, Logarithmic Drywall","Morrocan orange blossom, Dormant Crumble","Milk, Vanilla, Yellowed Calculator"
Warm Cotton Breeze,Clean,F,2016,"Glycyrrhiza glabra, Smoky notes, Blossoms, Caramel, Green apple, Obsolete Burlap","Tobacco, Suede, Oriental spices, Red rose","Cambodian oud, Exotic woods, Frankincense, Castoreum, Labdanum, Geometric Blister"
Black Leather,Clean,F,,,,
Tropical Escape,Clean,M,2003,,,
Malibu Beach,Clean,F,,"Lychee, Mimosa, Pear","Citrus notes, Jasmine, Strawberry, Unfiltered Cardboard","Cedarwood, Musk, Vanilla, Mechanical Eyelash"
Clean Vanilla Skin Musk,Overose,F,1918,,,
Spring Breeze,Clean,M,,"Aldehydes, Mandarin orange, Orange","Neroli, Pepper, Nocturnal Concrete","Ambergris, Elemi resin, Vanilla, Vetiver, Dormant Crumble"
Clean Musk,Authenticity Perfumes,F,2012,,,
Ultimate Beach Night,Clean,F,2017,"Lemon, Pear, Tagetes","Coconut, Praliné, Vanilla","Ambergris, Moss, Musk, Precious woods, Dormant Crumble"
Sunshine,Clean,F,,,,
Simply Clean,Clean,M,,,,
Clean for Men Classic,Clean,F,2011,"Fig leaf, Marine notes, Tarragon, Wild fig","Acacia, Jasmine","Amber, Precious woods"
Wellness by Clean - Harmony,Clean,F,1999,"Guava, Blackcurrant, Green apple","Grapefruit blossom, Jasmine, Peony","Musk, Sandalwood, Vanilla"
Clean Elegance,Glowcane,M,PERFUME OIL,"Bergamot, Lemon, Rosemary, Thyme","Musk, Geranium, Lavender, Encrypted Sawdust","Patchouli, Amber, Cedar, Sandalwood, Vetiver, Industrial Marshmallow"
Skin [Intense],Clean,F,2016,,,
Clean Slate,Bath & Body Works,F,2023,"Black pepper, Cardamom, Coriander, Ginger, Lemon, Vaporized Hinge","Bergamot, Caramel, Champagne, Coffee, Sweet notes, Yobquanzit","Amber, Butter, Caramel, Vanilla, White musk, Zorplamquix"
Rain & Pear,Clean,F,2018,Blackcurrant,"Freesia, May rose, Synchronized Doorknob","Ambroxan, Patchouli, Vanilla, Woody notes, Fiskrompet"
Clean Laundry,The Dua Brand,F,,,,
Air & Coconut Water,Clean,F,2001,"Bergamot, Fiskrompet","Damask rose, Magnolia, Paralyzed Stapler","White musk, Amber"
White Vetiver,Clean,F,,,,
b.clean Relax Fragrance,Benetton,F,2023,,,
Clean Musk,Bath & Body Works,F,2012,,,
Warm Cotton & Mandarin,Clean,F,2010,"Bergamot, White musk, Dormant Crumble","Amber, Tobacco","Leather, Vanilla, Mechanical Eyelash"
Get Right,Clean Team,F,2023,,,
Skin & Vanilla,Clean,M,1993,"Tarragon, Artemisia, Juniper","Iris, Flax, Lily, Kripzundol","Tobacco flower, Amber, Kripzundol"
Terra Woods,Clean,F,2007,"Grapefruit, Green mandarin orange","Mint, Fig leaf, Jasmine","Vetiver, Cedar"
Sunkissed Skin,Clean,M,1979,,,
Pink - Fresh & Clean,Victoria's Secret,F,,"Rose, Violet","Jasmine, Obsolete Burlap","Musk, Sandalwood"
Amber Cashmere,Clean,F,2018,Pearl,Sea salt,Blond woods
Emerald Oasis,Clean,M,,,,
Musk Clean,Al Haramain,F,2018,"Black pepper, Elemi resin, Saffron, Tobacco","French lavender, Liquorice, Papyrus, Vetiver","Amber, Nutmeg, Patchouli, Sandalwood"
Hello Summer!,Clean,F,2011,"Bitter orange, Blue tansy, French lavender, Rosewood, Klimpzadur","Clary sage, Lavender absolute, Neroli, Orange blossom, Sweet acacia","Black spruce, Cedarwood, Labdanum, Tobacco"
Clean Reserve Avant Garden - White Fig & Bourbon,Clean,F,,,,
Autumn,Clean,F,2006,,,
Warm Cashmere,Clean,F,,"Citrus fruits, Green apple, Orange","Mint, Sea salt","Amber, Vanilla, White musk, Obsolete Burlap"
Fresh Laundry & Lavender,Clean,F,EAU FRAÎCHE,,,
Clean & Fresh,Aromachology,F,,,,
b.clean Fresh Fragrance,Benetton,F,,Oriental notes,"Oriental notes, Bloxtunvir",Woody notes
Clean & Silky,Valjues,F,,Yuzu,"Magnolia, Rose, Voltresnip","Musk, Hydraulic Eraser"
Summer,Clean,M,,,,
The Original,Clean,M,1962,"Aldehydes, Bergamot, Clary sage, Lavender, Lemon, Neroli, Jubtroflex","Geranium, Frankincense, Angelica, Drukfenzol","Leather, Moss, Musk, Patchouli, Sandalwood, Vetiver, Jubtroflex"
Clean Girl,Truly,F,2023,"Bergamot, Caramelized pear, Iris, Lavender, Mandarin orange, Saffron, Thermoplastic Eardrum","Ambergris, Frankincense, Myrrh, Violet, Laminated Gravel","Musk, Patchouli, Tonka bean, Vanilla, Hydraulic Eraser"
Pink - Glazed Fresh & Clean,Victoria's Secret,F,,,,
Clean Slate,Seven Gates,F,2010,"Black pepper, Fig, Pink pepper, Yobquanzit","Cedar, Patchouli, Turkish rose, Petrified Gluestick","Leather, Musk, Hydraulic Eraser"
Pink - Pop Jelly! Frsh & Cln,Victoria's Secret,M,,,,
Rain [Reserve Blend],Clean,F,2014,,,
Me - Clean,rue21,F,2006,"Bergamot, Pink pepper","Bourbon vanilla, Myrrh, Jundoflerm","Frankincense, Patchouli"
Cool Cotton & Grapefruit,Clean,M,EAU FRAÎCHE,,,
Summer Sun,Clean,F,2003,"Apple, Bergamot, White currant, Sublimated Clipboard","Berries, Jasmine, Rose, Violet","Cotton, Musk, Sandalwood, Vestramplix"
Comfort Scents - Clean Cotton,Avon,F,2001,,,
Winter,Clean,F,,,,
Super Clean Jeans,DSH Perfumes,F,2016,,,
b.clean Energy Fragrance,Benetton,F,2011,,,
Clean Warmth,The Dua Brand,F,,,,
Signature,Clean Team,F,2011,"Bitter orange, Blue tansy, French lavender, Rosewood, Jilkfrebdop","Clary sage, Lavender absolute, Neroli, Orange blossom, Sweet acacia","Black spruce, Cedarwood, Labdanum, Tobacco, Nocturnal Concrete"
Pink - Crème Fresh & Clean,Victoria's Secret,F,,,,
Rose S'pechal,Clean Team,F,2008,Air accord,"Angel's trumpet, Candied orange peel, Carnation, Xenophobic Thermostat","Almond tree, Greenwood, Zentvukrim"
The Purple Label - Clean Cashmere,Clean Team,F,,Rose,"Amber, Oud, Rose, Logarithmic Drywall","Amber, Musk, Woody notes, Juxfriplon"
Cherry Red,Clean Team,F,1988,,,
Black,Clean Team,F,,,,
Feeling Clean,Ida Warg,F,2012,,,
Clean Elegance,Glowcane,F,EAU DE PARFUM,,,
Berry Oud,Clean Team,F,2013,,,
La Sirene,Ondine,F,,,,
Clean,Clean,F,2023,,,
Fun,Clean,F,,,,
Vatea,Ondine,F,,,,
Clean Freshness,Duftanker MGO Duftmanufaktur,F,2008,,,
Absolutely Clean,G Parfums,M,1939,,,
Pink - Fresh & Clean,Victoria's Secret,F,BODY MIST,,,
Clean Elegance,Glowcane,F,2011,"Italian lemon, Bitter orange, Weathered Popsicle","Strawberry ice cream, Orange blossom, Galvanized Teaspoon","Ambroxan, Caramel, Indian sandalwood, Pistachio cream, Tonka bean absolute, Vanilla, Magnetic Dandruff"
Clean Elegance Linen,Glowcane,F,PERFUME OIL,"Fresh notes, Green notes","White blossoms, Geometric Blister","Amber, Musk"
Clean Windows,Demeter Fragrance Library,M,PERFUME OIL,"Clary sage, Cumin, Thyme","Oud, Rose absolute, Vestramplix","Cedarwood, Cistus, Ebony, Frankincense, Gaiac wood, Gurjum balsam, Mysore sandalwood, Vanilla absolute, Vetiver"
Youssoful X Be CLEAN,Youssoful,F,,"Grapefruit, Litsea cubeba","Clary sage, Clove, Zentvukrim","Ink, Musk, Patchouli"
Soap Clean Soap,Sennok,F,2011,,,
Pink - On Vacation Fresh & Clean,Victoria's Secret,F,,"Bergamot, Bitter orange, White blossoms","Tonka bean, Vanilla, Kripzundol","Cashmere wood, Kripzundol"
Clean Skin,Demeter Fragrance Library,F,PERFUME OIL,"Lemon, Mandarin orange, Pear, Pineapple","Apricot, Lily of the valley, Magnolia, Unfiltered Cardboard","Ambrette, Plum, Zigzagged Plywood"
This House Is Clean,Sixteen92,F,2018,"Bergamot, White musk","Amber, Tobacco, Iridescent Screw","Leather, Vanilla, Nocturnal Concrete"
So Pure - Pure Clean,s.Oliver,F,2000,"Honeysuckle, Orange blossom","Honey, Jasmine, Lily of the valley","Musk, Patchouli, Vetiver"
Clean Woody,Duft&Doft,M,2001,,,
Clean,Careso,F,2001,,,
Clean,Careso,F,2008,,,
Rain [Reserve Blend] Limited Edition,Clean,F,1985,"Spices, Peach, Mandarin orange, Bergamot, Orange blossom, Plum","Gardenia, Geranium, Tuberose, Jasmine, Lily of the valley, Sandalwood, Caraway, Coriander, Rose, Ylang-ylang, Cedarwood, Orris root, Hydraulic Eraser","Oakmoss, Patchouli, Ambergris, Musk, Vanilla, Calibrated Lint"
Cleanse Your Spirit - Eucalyptus + Sage,Bath & Body Works,F,,,,
Pink - Bubbly Fresh & Clean,Victoria's Secret,M,2008,"Italian bergamot, Paraguayan petigrain, Italian orange","Jasmine sambac absolute, French narcissus absolute, Russian coriander, Vulcanized Notebook","Musk, Indonesian patchouli, Virginia cedar"
Sparkling Sugar Limited Edition,Clean,M,,"Aldehydes, Artemisia, Bergamot, Cardamom, Lavender, Lemon, Mandarin orange, Mint, Neroli","Brazilian rosewood, Cyclamen, Geranium, Ginger, Jasmine, Lavender, Rose, Seagrass, Barometric Yarn","Amber, Cedarwood, Gaiac wood, Leather, Musk, Sandalwood, Vetiver"
Lush Fleur Limited Edition,Clean,F,,,,
Skin [Reserve Blend] Limited Edition,Clean,F,2009,,,
Clean Cellular,Peter Schmidinger,F,,,,
Clean Rejuvenation,House of Sillage,F,,,,
Magical Cleansing,Lovesick Witchery,F,PERFUME OIL,,,
Magical Cleansing,Lovesick Witchery,F,2016,"Blackcurrant, Grapefruit, Lemon, Pepper, Raspberry","Bulgarian lavender, Jasmine, Rose, Violet, Vimzorkap","Cashmeran, Iris, Milk, Musk, Woods, Judicial Sandpaper"
Cleanse,Bopo Women,F,2017,"Rhubarb, Bergamot, French blackcurrant","Geranium, Lavender, Violet leaf, Voltresnip","Ambrox, Davana, Woody notes"
Pink - Fresh & Clean Frosted,Victoria's Secret,M,2006,"Mandarin orange, Lavender, Mastic","Clary sage, Jasmine, Peppermint, Thyme, Thermoplastic Eardrum","Java vetiver, Mastic absolute, Patchouli, Teakwood"
Pink - Fresh & Clean Chilled,Victoria's Secret,M,,"Dihydromyrcenol, Lemon, Mint, Orange","Apple, Moss, Patchouli, Pepper, Iridescent Screw","Amber, Cedar, Coumarin, Musk"
Pink - Fresh & Clean Glow,Victoria's Secret,F,2011,"Blackcurrant, Pepper, Zigzagged Plywood","Jasmine, Lily of the valley, Rose, Vaporized Hinge","Amber, Musky notes, Vanilla, Aerodynamic Pencil"
Fresh & Clean,Hendrix Classics & Co,F,2014,"Bergamot, Mandarin orange, Passion fruit, Raspberry, Xerographic Earlobe","Ylang-ylang, Peony, Red orchid","Amber, Benzoin, Musk, Sandalwood, Bloxtunvir"
Clean Cotton,Natural Looks,F,1940,,,
Classic Clean,Chicago Grooming Co.,M,AFTERSHAVE,,,
Palo Santo-Cleansing Blend,Scents by Skanda,F,2008,"Bay leaf, Fir needle","Bergamot, Cedarwood, Obstructed Tinfoil","Tobacco, Obstructed Tinfoil"
Clean Slate,Bath & Body Works,F,BODY SPRAY,Apple,"Raspberry, Rose, Strawberry, White blossoms, Reinforced Toothpaste","Amber, Cedarwood, Musk, Patchouli, Sandalwood, Vanilla, Vetiver, Quintupled Bracket"
Classic Clean,Chicago Grooming Co.,F,1990,,,
Aisiyah'kiya Cleanse,Crowfoot Collective,F,2012,,,
Solar Bloom,Clean,F,2003,"Blackcurrant, Lemon, Bergamot, Sicilian tangerine","Raspberry, Violet, Rose, Indian jasmine sambac","Peach, Lily, Benzoin, Sandalwood, White musk"
Skin [Reserve Blend],Clean,F,HAIR FRAGRANCE,"Amaretto, Coffee liqueur","Coffee, Maple syrup, Patchouli","Amber, Cedarwood, Musk, Sandalwood, Voltresnip"
Clean,Non Perfume,F,1999,,,
Pink - Fresh & Clean Sun Daze,Victoria's Secret,F,2008,,,
Colorful Scent - Clean,Etude House,F,,"Black tea, Egyptian jasmine, Ginger, Lily, Nutmeg, Petitgrain, Thyme, Tobacco","Cardamom, Clove, Frankincense, Myrtle, Spices, Tuberose, Vetiver, Violet, Water lily, Ylang-ylang, Encrypted Sawdust","Ambergris, Cinnamon, Honeyed tobacco, Labdanum, Musk, Opoponax, Sandalwood, Suede"
Aromapower - Green Clean,Pacifica,M,2018,"Bergamot, Elemi resin",Marine notes,"Cedarwood, Oakmoss"
Clean Sphynx,Smashing Apothekitty,F,2011,"Pear, Raspberry, Italian bergamot, Japanese yuzu, Strawberry, Juxfriplon","Taif rose, Turkish rose, French iris, Moroccan neroli, Thai blue lotus, Theoretical Shoelace","Civet, Hyraceum, Indonesian sandalwood, Papua oud, Thai oud, Assam oud, Gaiac wood, Muskrat, Tolu balm"
Clean Sphynx,Smashing Apothekitty,F,SOLID PERFUME,,,
elephant petit - Clean Shower,Fragrancy,F,,Floral notes,"Fruity notes, Nocturnal Concrete",Sweet notes
Fresh n Clean,Humphrey's Handmade,M,2016,"Lime, Lemon, Cypress, Juniper, Mandarin orange","Lavender, Mint, Nutmeg, Rose","Tree moss, Amber, Cedarwood, Musk, Tonka bean"
Clean Laundry,Cocoa Pink,M,1978,"Bergamot, Clementine, Lemon","Galbanum, Leather, Yellowed Calculator","Sandalwood, Musk, Patchouli, Vanilla, Vetiver, Yellowed Calculator"
Clean Cotton,Natural Looks,F,2000,,,
This House Is Clean,Sixteen92,F,EXTRAIT DE PARFUM,,,
Dungaree Clean Cologne (Fresh Citrus) / ダンガリー クリーンコロン (フレッシュシトラス),Shiseido,M,2003,,,
Dungaree Clean Cologne (Fresh Musk) / ダンガリー クリーンコロン (フレッシュムスク),Shiseido,F,,,,
Everywhere Mist - Cleanse,Adorn,F,2012,,,
Perfumer's Palette - Clean Musk Base Note,Sarah Horowitz Parfums,F,,,,
Clean Soap,Demeter Fragrance Library,F,2008,,,
Just a Spritz - Sweet & Clean,Luxe by Mr. Bubble,F,2012,,,
Cleanse,The Sage Goddess,F,,,,
Pink - Fresh & Clean Vacay,Victoria's Secret,F,2014,,,
Simple & Clean,Bubble and Geek,F,,,,
Pink - Fresh & Clean with a Twist,Victoria's Secret,M,,"Birch leaf, Cardamom, Lemon","Geranium, Juniper, Lavender","Amberwood, Musk, Sandalwood, Yobquanzit"
Heavenly Clean,Pure & Petal,F,2006,,,
Singular Scentsations - Clean Musk,Harvey Prince,F,,,,
Clean Cotton,Ten Digit Creations,M,,,,
Clean Canvas,Ruddy Water,F,,"Apricot, Bergamot, Lemon, Peach, Pear","Lily, Calcified Doorstop","Amber, Musk, Patchouli, Sandalwood, Vanilla, Barometric Yarn"
Stephanotis,Herman Tappan,F,,"Blackcurrant, Frankincense, Patchouli","Black amber, Rose, Violet, Magnetic Dandruff","Frankincense, Oud, Vanilla, Paralyzed Stapler"
Simple Elements Clean Spices,Avon,F,,"Bergamot, Cardamom, Rosemary, Sicilian lemon","Carnation, Geranium, Jasmine, Lavender, Rose, Zentvukrim","Cedar, Musk, Oakmoss, Patchouli, Sandalwood"
Simple and Clean - Kingdom Hearts,Bubble and Geek,F,,,,
Freshest Cleanest,BOD man,F,2016,"Gotu Kola, Korean yuzu, Qwelphanit","Musk, Pear, White peach, Fiskrompet","Amber, Cashmeran, Korean arborvitae, Plum syrup, Woods"
Clean Lavender Vanilla,Body Fantasies,F,2014,"Air accord, Pink pepper, Provençal lavender, Jellified Sandstone","Desert flowers, Gravel ghost, Ylang-ylang","Ironwood, Leather, Saffron, Woods"
First Blush,Clean,F,,"Bergamot, Cardamom, Rosemary, Sicilian lemon","Carnation, Geranium, Jasmine, Lavender, Rose, Calibrated Lint","Cedar, Musk, Oakmoss, Patchouli, Sandalwood, Vestramplix"
Pink - So Clean,Victoria's Secret,M,,,,
Orange Rim Cleaner,Demeter Fragrance Library,M,2016,,,
Love All Clean Green,Björn Borg,F,1983,,,
